Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Bike,PURE EV,eTryst 350,2022,91,163
Car,Tata Motors,Nexon EV,2021,479,150
Car,BYD,Atto 3,2020,189,144
Scooter,TVS,iQube,2022,131,132
Scooter,Bajaj,Chetak,2022,204,177
Scooter,Hero Electric,Optima,2020,145,122
Scooter,Ola Electric,S1 Pro,2023,416,103
Bike,Revolt Motors,RV400,2019,376,84
Bike,Ultraviolette,F77,2023,141,112
Bike,Oben Electric,Rorr,2022,475,73
Car,Tata Motors,Nexon EV,2022,401,167
Car,Tata Motors,Nexon EV,2023,456,132
Bike,Oben Electric,Rorr,2023,378,160
Scooter,Hero Electric,Optima,2019,231,84
Bike,PURE EV,eTryst 350,2023,334,171
Bike,Tork Motors,Kratos,2022,281,127
Scooter,TVS,iQube,2019,85,165
Scooter,Ather,450X,2020,163,170
Bike,Tork Motors,Kratos,2021,204,75
Bike,Revolt Motors,RV400,2019,480,101
Car,BYD,Atto 3,2022,237,78
Scooter,Ather,450X,2021,240,118
Scooter,Ather,450X,2022,236,156
Bike,PURE EV,eTryst 350,2021,168,85
Car,MG,ZS EV,2023,485,114
Car,Tata Motors,Nexon EV,2021,378,89
Car,Tata Motors,Nexon EV,2022,321,104
Scooter,Bajaj,Chetak,2020,397,109
Car,Mahindra,eVerito,2022,273,135
Car,Tata Motors,Nexon EV,2021,485,67
Bike,Tork Motors,Kratos,2020,375,146
Bike,Tork Motors,Kratos,2020,240,157
Bike,Tork Motors,Kratos,2020,111,65
Bike,Ultraviolette,F77,2020,160,131
Bike,Tork Motors,Kratos,2020,119,83
Scooter,Ola Electric,S1 Pro,2022,274,116
Scooter,Ola Electric,S1 Pro,2023,348,89
Car,Tata Motors,Nexon EV,2021,340,115
Scooter,Bajaj,Chetak,2020,243,122
Scooter,Bajaj,Chetak,2022,308,144
Bike,Oben Electric,Rorr,2021,363,150
Car,BYD,Atto 3,2019,166,110
Car,BYD,Atto 3,2019,442,136
Scooter,Ather,450X,2020,480,152
Bike,Revolt Motors,RV400,2023,99,162
Scooter,Hero Electric,Optima,2022,309,151
Car,BYD,Atto 3,2021,151,123
Scooter,Ola Electric,S1 Pro,2022,496,167
Scooter,Hero Electric,Optima,2023,84,149
Car,Hyundai,Kona Electric,2021,404,75
Car,BYD,Atto 3,2020,337,139
Scooter,TVS,iQube,2022,224,166
Scooter,Ather,450X,2021,365,163
Car,MG,ZS EV,2023,163,95
Bike,Ultraviolette,F77,2020,459,116
Scooter,Ola Electric,S1 Pro,2020,382,171
Car,BYD,Atto 3,2019,468,174
Car,Hyundai,Kona Electric,2019,180,151
Bike,Tork Motors,Kratos,2019,479,140
Bike,Tork Motors,Kratos,2020,349,164
Car,BYD,Atto 3,2020,390,69
Car,Mahindra,eVerito,2023,380,76
Scooter,Bajaj,Chetak,2021,319,84
Scooter,Ola Electric,S1 Pro,2020,92,111
Car,Hyundai,Kona Electric,2019,120,169
Bike,PURE EV,eTryst 350,2021,79,125
Scooter,Bajaj,Chetak,2022,215,89
Scooter,Bajaj,Chetak,2021,310,111
Bike,Tork Motors,Kratos,2023,282,65
Bike,Ultraviolette,F77,2020,400,100
Car,BYD,Atto 3,2019,439,169
Scooter,Ola Electric,S1 Pro,2022,207,107
Bike,Ultraviolette,F77,2022,295,66
Bike,Ultraviolette,F77,2021,494,84
Bike,Revolt Motors,RV400,2020,292,145
Scooter,Ola Electric,S1 Pro,2021,217,164
Car,Mahindra,eVerito,2022,135,158
Scooter,TVS,iQube,2020,267,145
Car,Tata Motors,Nexon EV,2021,307,97
Scooter,Bajaj,Chetak,2023,235,111
Scooter,TVS,iQube,2019,364,112
Scooter,Hero Electric,Optima,2020,169,68
Car,BYD,Atto 3,2022,156,96
Scooter,Ola Electric,S1 Pro,2020,385,142
Scooter,Bajaj,Chetak,2021,280,141
Bike,Revolt Motors,RV400,2019,277,174
Car,Tata Motors,Nexon EV,2020,133,124
Car,Tata Motors,Nexon EV,2023,339,134
Bike,Tork Motors,Kratos,2021,82,152
Scooter,Ola Electric,S1 Pro,2021,367,123
Car,Mahindra,eVerito,2022,239,70
Scooter,Bajaj,Chetak,2022,101,81
Bike,PURE EV,eTryst 350,2023,294,108
Scooter,TVS,iQube,2021,340,158
Car,Tata Motors,Nexon EV,2023,394,101
Car,Mahindra,eVerito,2023,251,126
Scooter,TVS,iQube,2022,137,109
Bike,Ultraviolette,F77,2020,258,147
Car,Hyundai,Kona Electric,2023,235,92
Bike,Tork Motors,Kratos,2021,168,169
Bike,PURE EV,eTryst 350,2022,327,155
Car,Tata Motors,Nexon EV,2022,351,175
Scooter,Ather,450X,2021,219,78
Car,BYD,Atto 3,2022,85,68
Car,BYD,Atto 3,2019,460,108
Scooter,Ather,450X,2019,402,74
Scooter,Hero Electric,Optima,2020,125,91
Bike,Revolt Motors,RV400,2021,331,122
Scooter,Hero Electric,Optima,2020,150,111
Car,Tata Motors,Nexon EV,2023,159,150
Bike,Ultraviolette,F77,2020,329,62
Scooter,Ather,450X,2023,101,166
Bike,Oben Electric,Rorr,2021,335,154
Scooter,Hero Electric,Optima,2020,448,96
Scooter,Ola Electric,S1 Pro,2021,135,172
Car,Mahindra,eVerito,2021,273,93
Car,Hyundai,Kona Electric,2019,136,148
Scooter,Hero Electric,Optima,2019,252,136
Scooter,Ola Electric,S1 Pro,2021,350,153
Bike,Oben Electric,Rorr,2020,169,76
Bike,PURE EV,eTryst 350,2023,282,91
Scooter,TVS,iQube,2023,462,105
Car,MG,ZS EV,2022,267,130
Scooter,Hero Electric,Optima,2022,352,170
Scooter,Hero Electric,Optima,2022,464,112
Car,Tata Motors,Nexon EV,2019,232,104
Scooter,TVS,iQube,2021,284,131
Scooter,Bajaj,Chetak,2021,333,156
Bike,Ultraviolette,F77,2019,375,90
Car,Hyundai,Kona Electric,2023,277,148
Scooter,Hero Electric,Optima,2022,364,141
Bike,PURE EV,eTryst 350,2021,318,73
Bike,Revolt Motors,RV400,2023,201,138
Car,Mahindra,eVerito,2022,476,85
Car,BYD,Atto 3,2022,260,97
Bike,Revolt Motors,RV400,2022,139,64
Bike,PURE EV,eTryst 350,2023,321,150
Car,Tata Motors,Nexon EV,2020,248,112
Scooter,TVS,iQube,2019,93,144
Scooter,Ather,450X,2021,85,64
Car,Hyundai,Kona Electric,2023,104,167
Scooter,Hero Electric,Optima,2020,379,114
Bike,Revolt Motors,RV400,2019,453,169
Bike,PURE EV,eTryst 350,2021,381,90
Scooter,TVS,iQube,2019,457,126
Bike,Oben Electric,Rorr,2020,328,145
Bike,Oben Electric,Rorr,2021,271,135
Bike,Oben Electric,Rorr,2019,484,81
Car,BYD,Atto 3,2022,392,171
Scooter,Bajaj,Chetak,2023,314,87
Scooter,Ola Electric,S1 Pro,2020,150,91
Car,Tata Motors,Nexon EV,2022,400,71
Bike,Tork Motors,Kratos,2020,302,170
Bike,Revolt Motors,RV400,2021,211,107
Scooter,Bajaj,Chetak,2021,215,91
Scooter,Ola Electric,S1 Pro,2019,211,96
Car,Tata Motors,Nexon EV,2021,327,117
Bike,PURE EV,eTryst 350,2019,470,147
Scooter,Ola Electric,S1 Pro,2020,482,152
Scooter,Hero Electric,Optima,2019,493,177
Bike,Oben Electric,Rorr,2021,130,147
Scooter,Ather,450X,2021,326,164
Car,MG,ZS EV,2020,293,146
Scooter,TVS,iQube,2022,492,121
Car,Mahindra,eVerito,2020,443,160
Bike,Ultraviolette,F77,2023,121,124
Car,MG,ZS EV,2021,491,117
Car,Tata Motors,Nexon EV,2019,461,66
Bike,Oben Electric,Rorr,2021,378,116
Bike,Ultraviolette,F77,2021,226,148
Bike,Revolt Motors,RV400,2022,310,93
Car,BYD,Atto 3,2020,356,159
Car,BYD,Atto 3,2020,85,115
Scooter,Bajaj,Chetak,2021,479,63
Scooter,Ola Electric,S1 Pro,2023,244,74
Bike,PURE EV,eTryst 350,2019,185,89
Scooter,Bajaj,Chetak,2019,455,151
Bike,Ultraviolette,F77,2022,430,174
Car,Tata Motors,Nexon EV,2019,89,76
Car,Tata Motors,Nexon EV,2022,92,135
Scooter,Ola Electric,S1 Pro,2019,346,169
Car,Mahindra,eVerito,2022,265,141
Car,Hyundai,Kona Electric,2020,93,127
Scooter,Hero Electric,Optima,2023,430,115
Scooter,Ola Electric,S1 Pro,2021,259,76
Scooter,Bajaj,Chetak,2019,218,99
Scooter,TVS,iQube,2021,128,127
Scooter,Ather,450X,2021,427,67
Scooter,Ather,450X,2023,326,66
Bike,Ultraviolette,F77,2020,108,162
Scooter,Ather,450X,2019,472,104
Car,MG,ZS EV,2020,298,104
Car,Hyundai,Kona Electric,2022,275,93
Bike,Revolt Motors,RV400,2022,241,161
Bike,Revolt Motors,RV400,2020,169,67
Bike,PURE EV,eTryst 350,2022,154,158
Scooter,Hero Electric,Optima,2021,194,89
Bike,Oben Electric,Rorr,2019,106,106
Scooter,Ather,450X,2019,342,128
Car,Tata Motors,Nexon EV,2023,336,64
Scooter,Ola Electric,S1 Pro,2020,251,160
Bike,Ultraviolette,F77,2023,144,92
Scooter,TVS,iQube,2021,350,93
Scooter,Hero Electric,Optima,2023,227,153
Bike,Tork Motors,Kratos,2023,246,130
Scooter,TVS,iQube,2021,280,90
Car,BYD,Atto 3,2023,471,69
Car,Hyundai,Kona Electric,2020,282,102
Scooter,Hero Electric,Optima,2021,430,100
Scooter,Ather,450X,2019,225,136
Bike,PURE EV,eTryst 350,2021,141,138
Scooter,TVS,iQube,2022,456,90
Car,Hyundai,Kona Electric,2020,410,177
Bike,Ultraviolette,F77,2019,370,162
Bike,Oben Electric,Rorr,2023,120,82
Scooter,TVS,iQube,2022,118,119
Car,Tata Motors,Nexon EV,2022,298,175
Car,MG,ZS EV,2021,271,73
Car,Hyundai,Kona Electric,2019,314,144
Car,MG,ZS EV,2023,255,127
Scooter,Hero Electric,Optima,2023,353,110
Bike,Ultraviolette,F77,2020,246,137
Bike,Ultraviolette,F77,2021,85,83
Car,BYD,Atto 3,2022,403,143
Bike,PURE EV,eTryst 350,2021,475,118
Car,Hyundai,Kona Electric,2019,268,129
Scooter,TVS,iQube,2019,407,159
Bike,Ultraviolette,F77,2022,106,104
Bike,Oben Electric,Rorr,2020,416,141
Bike,PURE EV,eTryst 350,2019,185,80
Car,Mahindra,eVerito,2021,299,63
Scooter,TVS,iQube,2023,103,96
Car,BYD,Atto 3,2023,159,72
Scooter,Ola Electric,S1 Pro,2023,186,164
Car,Hyundai,Kona Electric,2020,116,123
Scooter,Ather,450X,2019,390,154
Car,MG,ZS EV,2022,104,164
Car,Hyundai,Kona Electric,2023,295,148
Bike,Tork Motors,Kratos,2022,215,87
Car,MG,ZS EV,2020,127,93
Bike,Revolt Motors,RV400,2023,344,130
Car,Hyundai,Kona Electric,2023,391,65
Bike,PURE EV,eTryst 350,2021,405,161
Bike,Ultraviolette,F77,2021,422,79
Bike,Ultraviolette,F77,2021,419,135
Car,Mahindra,eVerito,2020,278,112
Scooter,Hero Electric,Optima,2019,416,71
Car,MG,ZS EV,2020,401,165
Scooter,Bajaj,Chetak,2020,151,82
Car,BYD,Atto 3,2020,446,131
Car,Mahindra,eVerito,2023,327,104
Car,Hyundai,Kona Electric,2023,372,86
Bike,Revolt Motors,RV400,2023,134,91
Car,Tata Motors,Nexon EV,2022,238,163
Scooter,TVS,iQube,2019,439,99
Car,BYD,Atto 3,2020,284,85
Car,BYD,Atto 3,2021,394,158
Bike,Ultraviolette,F77,2020,215,87
Car,Hyundai,Kona Electric,2023,237,77
Bike,Tork Motors,Kratos,2020,402,150
Scooter,Bajaj,Chetak,2022,326,145
Scooter,TVS,iQube,2021,209,70
Car,Tata Motors,Nexon EV,2019,434,136
Scooter,Ola Electric,S1 Pro,2021,241,62
Scooter,Hero Electric,Optima,2019,93,167
Scooter,Ather,450X,2023,399,139
Scooter,Hero Electric,Optima,2021,410,134
Scooter,Bajaj,Chetak,2022,280,72
Scooter,Ather,450X,2020,214,80
Scooter,Bajaj,Chetak,2020,172,111
Scooter,Hero Electric,Optima,2022,316,120
Bike,Ultraviolette,F77,2022,469,108
Scooter,TVS,iQube,2019,420,154
Bike,Tork Motors,Kratos,2019,146,91
Bike,Tork Motors,Kratos,2022,370,109
Scooter,Ather,450X,2019,357,61
Bike,Tork Motors,Kratos,2019,165,147
Car,Hyundai,Kona Electric,2023,177,175
Scooter,Ola Electric,S1 Pro,2023,432,87
Scooter,Bajaj,Chetak,2020,302,156
Bike,Ultraviolette,F77,2021,304,103
Car,BYD,Atto 3,2020,412,84
Scooter,Ather,450X,2021,201,121
Bike,Tork Motors,Kratos,2022,90,152
Scooter,Ather,450X,2021,219,164
Car,BYD,Atto 3,2022,78,172
Bike,Revolt Motors,RV400,2023,378,168
Car,Hyundai,Kona Electric,2023,219,122
Bike,PURE EV,eTryst 350,2023,375,103
Bike,PURE EV,eTryst 350,2023,90,171
Scooter,TVS,iQube,2022,190,164
Car,MG,ZS EV,2020,448,118
Car,BYD,Atto 3,2023,85,163
Scooter,Hero Electric,Optima,2021,379,62
Bike,Revolt Motors,RV400,2022,424,87
Scooter,Hero Electric,Optima,2022,424,159
Bike,PURE EV,eTryst 350,2020,463,126
Scooter,TVS,iQube,2019,265,161
Scooter,Ather,450X,2023,410,121
Bike,PURE EV,eTryst 350,2021,408,123
Car,Mahindra,eVerito,2021,84,66
Car,MG,ZS EV,2019,464,157
Bike,PURE EV,eTryst 350,2023,101,133
Car,Hyundai,Kona Electric,2019,178,135
Car,Mahindra,eVerito,2021,125,81
Car,Hyundai,Kona Electric,2023,449,166
Scooter,Ather,450X,2019,479,133
Scooter,Bajaj,Chetak,2022,147,84
Bike,Tork Motors,Kratos,2023,267,94
Scooter,Hero Electric,Optima,2023,403,139
Scooter,Bajaj,Chetak,2019,467,123
Car,Hyundai,Kona Electric,2019,114,147
Scooter,Hero Electric,Optima,2021,341,149
Scooter,Bajaj,Chetak,2019,336,171
Bike,Oben Electric,Rorr,2023,281,165
Bike,Oben Electric,Rorr,2019,318,124
Scooter,Ather,450X,2022,151,76
Bike,Revolt Motors,RV400,2019,433,142
Bike,Ultraviolette,F77,2020,326,78
Car,Hyundai,Kona Electric,2021,184,123
Car,BYD,Atto 3,2023,77,120
Car,BYD,Atto 3,2023,411,150
Car,Hyundai,Kona Electric,2022,347,159
Scooter,TVS,iQube,2023,320,105
Car,Tata Motors,Nexon EV,2021,241,127
Scooter,Ola Electric,S1 Pro,2023,277,110
Scooter,Ola Electric,S1 Pro,2023,435,161
Bike,PURE EV,eTryst 350,2019,417,109
Car,BYD,Atto 3,2021,250,120
Scooter,Bajaj,Chetak,2021,178,64
Scooter,Ola Electric,S1 Pro,2022,285,74
Bike,Revolt Motors,RV400,2021,288,69
Car,Hyundai,Kona Electric,2022,334,77
Car,Mahindra,eVerito,2022,113,156
Car,MG,ZS EV,2022,228,144
Bike,PURE EV,eTryst 350,2023,78,101
Car,Hyundai,Kona Electric,2020,249,123
Bike,Ultraviolette,F77,2022,357,97
Car,BYD,Atto 3,2023,315,97
Bike,Oben Electric,Rorr,2023,203,113
Bike,Tork Motors,Kratos,2020,385,88
Car,Tata Motors,Nexon EV,2022,97,180
Scooter,TVS,iQube,2023,252,153
Car,Mahindra,eVerito,2022,137,164
Scooter,Ola Electric,S1 Pro,2023,255,95
Bike,Revolt Motors,RV400,2019,422,85
Car,BYD,Atto 3,2019,469,173
Scooter,Bajaj,Chetak,2020,115,174
Scooter,Ather,450X,2021,467,128
Bike,PURE EV,eTryst 350,2019,372,159
Scooter,Bajaj,Chetak,2020,150,176
Car,Mahindra,eVerito,2020,289,92
Car,MG,ZS EV,2020,362,81
Bike,Tork Motors,Kratos,2021,223,98
Car,MG,ZS EV,2021,272,89
Car,BYD,Atto 3,2021,369,114
Bike,Tork Motors,Kratos,2020,197,180
Bike,Tork Motors,Kratos,2023,487,88
Bike,Tork Motors,Kratos,2019,330,90
Scooter,Bajaj,Chetak,2020,317,145
Car,Tata Motors,Nexon EV,2023,106,174
Scooter,TVS,iQube,2023,79,94
Scooter,Ola Electric,S1 Pro,2022,232,119
Scooter,Hero Electric,Optima,2023,218,131
Car,Hyundai,Kona Electric,2021,398,120
Car,MG,ZS EV,2021,199,118
Bike,PURE EV,eTryst 350,2019,317,64
Scooter,Ather,450X,2023,161,161
Scooter,TVS,iQube,2019,204,126
Scooter,Ola Electric,S1 Pro,2019,290,115
Scooter,Ola Electric,S1 Pro,2019,414,133
Car,BYD,Atto 3,2022,397,102
Bike,Tork Motors,Kratos,2021,311,158
Car,Hyundai,Kona Electric,2020,460,71
Bike,Tork Motors,Kratos,2020,251,119
Car,Mahindra,eVerito,2020,204,85
Car,BYD,Atto 3,2020,418,108
Car,Mahindra,eVerito,2022,236,139
Bike,PURE EV,eTryst 350,2022,114,129
Bike,Ultraviolette,F77,2022,175,107
Car,Mahindra,eVerito,2023,366,105
Car,Mahindra,eVerito,2021,197,84
Car,BYD,Atto 3,2021,377,63
Car,Hyundai,Kona Electric,2020,248,68
Scooter,Hero Electric,Optima,2019,397,108
Bike,PURE EV,eTryst 350,2023,332,110
Car,Hyundai,Kona Electric,2023,278,167
Bike,Ultraviolette,F77,2022,76,115
Bike,PURE EV,eTryst 350,2022,436,179
Bike,Tork Motors,Kratos,2020,480,100
Scooter,TVS,iQube,2019,358,176
Scooter,Hero Electric,Optima,2022,250,105
Scooter,TVS,iQube,2021,237,103
Scooter,Bajaj,Chetak,2022,87,180
Car,Hyundai,Kona Electric,2020,253,157
Scooter,Hero Electric,Optima,2022,288,160
Bike,PURE EV,eTryst 350,2020,245,170
Bike,PURE EV,eTryst 350,2022,390,79
Scooter,Hero Electric,Optima,2020,324,121
Scooter,Ather,450X,2019,407,61
Bike,Oben Electric,Rorr,2021,118,167
Scooter,Ola Electric,S1 Pro,2023,222,156
Bike,Ultraviolette,F77,2022,267,75
Scooter,TVS,iQube,2021,193,99
Car,MG,ZS EV,2021,207,96
Scooter,Ather,450X,2023,168,60
Car,Tata Motors,Nexon EV,2021,355,117
Bike,Revolt Motors,RV400,2023,206,69
Bike,Ultraviolette,F77,2021,150,169
Bike,Oben Electric,Rorr,2019,240,96
Scooter,Bajaj,Chetak,2019,204,87
Car,Mahindra,eVerito,2021,298,148
Car,BYD,Atto 3,2022,367,163
Scooter,Ola Electric,S1 Pro,2023,418,96
Bike,Tork Motors,Kratos,2019,485,69
Car,Hyundai,Kona Electric,2019,235,67
Bike,Revolt Motors,RV400,2020,485,124
Scooter,TVS,iQube,2019,129,64
Bike,Revolt Motors,RV400,2023,311,69
Scooter,Bajaj,Chetak,2019,312,98
Scooter,Ather,450X,2023,84,88
Bike,Ultraviolette,F77,2021,371,135
Bike,Ultraviolette,F77,2022,283,145
Car,MG,ZS EV,2021,481,99
Bike,PURE EV,eTryst 350,2022,386,158
Bike,Revolt Motors,RV400,2023,295,63
Scooter,TVS,iQube,2023,435,141
Scooter,Hero Electric,Optima,2022,120,175
Car,BYD,Atto 3,2021,446,85
Scooter,TVS,iQube,2022,321,83
Scooter,Bajaj,Chetak,2020,386,126
Car,Hyundai,Kona Electric,2021,471,95
Bike,PURE EV,eTryst 350,2019,158,67
Car,Hyundai,Kona Electric,2021,143,125
Bike,Ultraviolette,F77,2020,234,108
Car,Mahindra,eVerito,2023,255,150
Car,Hyundai,Kona Electric,2020,438,100
Scooter,Ola Electric,S1 Pro,2020,264,175
Scooter,Bajaj,Chetak,2021,354,148
Car,Hyundai,Kona Electric,2022,197,127
Scooter,Ola Electric,S1 Pro,2021,422,152
Bike,Tork Motors,Kratos,2021,233,115
Scooter,Bajaj,Chetak,2023,166,107
Scooter,TVS,iQube,2019,271,166
Car,MG,ZS EV,2021,310,170
Car,MG,ZS EV,2020,485,110
Scooter,Bajaj,Chetak,2020,107,145
Car,Mahindra,eVerito,2019,165,159
Scooter,Ola Electric,S1 Pro,2019,288,102
Car,Tata Motors,Nexon EV,2023,326,102
Bike,Tork Motors,Kratos,2020,98,154
Bike,PURE EV,eTryst 350,2022,113,172
Bike,Revolt Motors,RV400,2021,378,73
Bike,Ultraviolette,F77,2019,265,162
Bike,Tork Motors,Kratos,2022,144,86
Bike,Ultraviolette,F77,2021,306,61
Scooter,Bajaj,Chetak,2021,384,62
Scooter,Ola Electric,S1 Pro,2020,253,142
Bike,Tork Motors,Kratos,2021,384,129
Car,Hyundai,Kona Electric,2019,81,82
Scooter,TVS,iQube,2023,377,95
Bike,Oben Electric,Rorr,2020,446,162
Bike,Tork Motors,Kratos,2022,193,134
Car,Tata Motors,Nexon EV,2021,380,117
Scooter,Bajaj,Chetak,2019,217,144
Scooter,TVS,iQube,2023,135,76
Car,BYD,Atto 3,2019,428,140
Car,Tata Motors,Nexon EV,2021,330,132
Bike,PURE EV,eTryst 350,2021,331,126
Bike,Ultraviolette,F77,2021,469,126
Scooter,Bajaj,Chetak,2021,129,108
Car,MG,ZS EV,2020,237,107
Scooter,Ola Electric,S1 Pro,2021,148,125
Bike,Tork Motors,Kratos,2020,251,140
Bike,Ultraviolette,F77,2021,286,92
Car,Tata Motors,Nexon EV,2019,398,64
Scooter,TVS,iQube,2023,298,63
Car,Hyundai,Kona Electric,2023,360,106
Car,MG,ZS EV,2020,278,157
Scooter,Ather,450X,2020,464,68
Bike,Oben Electric,Rorr,2022,189,121
Scooter,Ola Electric,S1 Pro,2020,452,145
Bike,PURE EV,eTryst 350,2022,255,110
Bike,PURE EV,eTryst 350,2019,428,168
Car,MG,ZS EV,2021,360,144
Scooter,TVS,iQube,2022,373,64
Car,Tata Motors,Nexon EV,2020,98,87
Bike,Ultraviolette,F77,2019,447,60
Car,BYD,Atto 3,2021,241,117
Car,MG,ZS EV,2019,406,128
Car,Mahindra,eVerito,2022,100,169
Bike,Revolt Motors,RV400,2019,486,165
Bike,PURE EV,eTryst 350,2023,409,156
Car,MG,ZS EV,2019,321,173
Bike,Tork Motors,Kratos,2019,241,160
Bike,Revolt Motors,RV400,2022,200,135
Bike,Tork Motors,Kratos,2022,217,178
Bike,PURE EV,eTryst 350,2022,190,77
Car,Hyundai,Kona Electric,2023,93,149
Car,BYD,Atto 3,2021,351,65
Bike,Revolt Motors,RV400,2020,446,86
Bike,Oben Electric,Rorr,2019,117,70
Car,Mahindra,eVerito,2022,422,82
Scooter,TVS,iQube,2022,420,179
Scooter,Ather,450X,2020,106,89
Bike,Oben Electric,Rorr,2023,139,160
Car,MG,ZS EV,2021,388,135
Scooter,Ola Electric,S1 Pro,2021,191,105
Bike,PURE EV,eTryst 350,2023,405,118
Scooter,TVS,iQube,2022,128,118
Scooter,Ola Electric,S1 Pro,2023,371,133
Bike,Oben Electric,Rorr,2020,458,140
Car,Hyundai,Kona Electric,2019,468,177
Car,Mahindra,eVerito,2021,477,87
Bike,Revolt Motors,RV400,2023,126,178
Bike,PURE EV,eTryst 350,2019,135,166
Scooter,Hero Electric,Optima,2019,265,180
Scooter,TVS,iQube,2023,116,174
Scooter,TVS,iQube,2021,308,144
Bike,Tork Motors,Kratos,2023,218,171
Bike,PURE EV,eTryst 350,2022,489,79
Bike,PURE EV,eTryst 350,2019,101,112
Scooter,Ather,450X,2023,313,98
Scooter,TVS,iQube,2020,264,115
Car,MG,ZS EV,2023,104,89
Bike,Tork Motors,Kratos,2019,266,129
Car,Hyundai,Kona Electric,2023,437,140
Car,MG,ZS EV,2020,434,98
Bike,Oben Electric,Rorr,2020,169,77
Car,BYD,Atto 3,2020,489,170
Bike,PURE EV,eTryst 350,2023,266,178
Car,MG,ZS EV,2022,91,116
Scooter,TVS,iQube,2023,203,148
Bike,Revolt Motors,RV400,2020,155,109
Scooter,Ola Electric,S1 Pro,2023,155,92
Car,Mahindra,eVerito,2023,129,64
Car,Mahindra,eVerito,2019,187,103
Scooter,Ather,450X,2022,221,114
Car,Tata Motors,Nexon EV,2022,231,165
Bike,Oben Electric,Rorr,2021,325,73
Bike,Revolt Motors,RV400,2022,416,178
Bike,Revolt Motors,RV400,2022,379,126
Car,MG,ZS EV,2019,300,88
Car,Hyundai,Kona Electric,2023,252,87
Car,Mahindra,eVerito,2023,456,60
Scooter,Ola Electric,S1 Pro,2020,264,101
Car,BYD,Atto 3,2019,104,149
Bike,Ultraviolette,F77,2023,452,111
Bike,PURE EV,eTryst 350,2022,186,74
Scooter,Hero Electric,Optima,2022,329,172
Bike,Revolt Motors,RV400,2019,435,69
Car,Hyundai,Kona Electric,2019,153,72
Car,Mahindra,eVerito,2021,247,155
Bike,Tork Motors,Kratos,2021,430,96
Bike,Tork Motors,Kratos,2019,433,121
Bike,Oben Electric,Rorr,2019,77,65
Bike,Tork Motors,Kratos,2020,240,164
Scooter,Ather,450X,2022,427,140
Car,BYD,Atto 3,2023,102,146
Scooter,Ather,450X,2023,181,99
Bike,Ultraviolette,F77,2021,450,113
Scooter,TVS,iQube,2021,401,120
Bike,Revolt Motors,RV400,2019,189,105
Bike,Revolt Motors,RV400,2022,366,155
Car,Mahindra,eVerito,2021,150,157
Bike,PURE EV,eTryst 350,2022,362,75
Scooter,Bajaj,Chetak,2020,209,70
Car,Tata Motors,Nexon EV,2022,402,70
Car,Tata Motors,Nexon EV,2019,160,73
Bike,Revolt Motors,RV400,2022,175,119
Scooter,Hero Electric,Optima,2021,486,65
Car,Hyundai,Kona Electric,2019,103,152
Bike,Ultraviolette,F77,2021,313,121
Bike,Revolt Motors,RV400,2020,283,166
Car,BYD,Atto 3,2021,121,159
Scooter,TVS,iQube,2020,207,124
Bike,Oben Electric,Rorr,2019,439,89
Car,BYD,Atto 3,2023,162,111
Scooter,Ather,450X,2019,147,135
Bike,Ultraviolette,F77,2020,162,154
Scooter,TVS,iQube,2022,143,69
Car,Tata Motors,Nexon EV,2020,431,97
Car,Tata Motors,Nexon EV,2019,79,79
Scooter,Bajaj,Chetak,2019,218,105
Scooter,TVS,iQube,2021,451,125
Scooter,Bajaj,Chetak,2020,431,133
Car,Hyundai,Kona Electric,2022,146,155
Car,BYD,Atto 3,2022,425,102
Scooter,Bajaj,Chetak,2019,249,66
Car,Hyundai,Kona Electric,2021,210,109
Bike,PURE EV,eTryst 350,2022,261,122
Scooter,Hero Electric,Optima,2022,183,108
Scooter,Hero Electric,Optima,2020,233,71
Bike,Ultraviolette,F77,2019,196,77
Scooter,Bajaj,Chetak,2023,443,63
Car,Mahindra,eVerito,2022,489,85
Scooter,TVS,iQube,2023,223,158
Car,Tata Motors,Nexon EV,2021,149,105
Scooter,Ather,450X,2020,194,117
Scooter,TVS,iQube,2020,449,78
Scooter,Ola Electric,S1 Pro,2022,407,84
Scooter,Ola Electric,S1 Pro,2022,399,166
Scooter,Hero Electric,Optima,2022,457,75
Bike,Revolt Motors,RV400,2019,459,114
Bike,Ultraviolette,F77,2019,190,60
Scooter,Ather,450X,2023,365,122
Car,Hyundai,Kona Electric,2019,234,102
Scooter,Bajaj,Chetak,2019,360,163
Bike,PURE EV,eTryst 350,2020,240,139
Bike,Oben Electric,Rorr,2020,169,175
Scooter,Ather,450X,2019,288,83
Car,MG,ZS EV,2020,183,104
Scooter,Hero Electric,Optima,2020,403,67
Car,BYD,Atto 3,2022,129,143
Car,Hyundai,Kona Electric,2022,77,77
Scooter,Ather,450X,2023,144,93
Car,Tata Motors,Nexon EV,2022,222,74
Car,MG,ZS EV,2019,245,171
Car,BYD,Atto 3,2022,172,83
Car,Mahindra,eVerito,2023,298,105
Car,MG,ZS EV,2019,402,177
Scooter,Ather,450X,2022,276,126
Car,BYD,Atto 3,2020,121,97
Car,MG,ZS EV,2021,304,112
Scooter,Bajaj,Chetak,2023,246,164
Bike,Oben Electric,Rorr,2019,418,140
Car,Tata Motors,Nexon EV,2019,188,96
Scooter,Hero Electric,Optima,2021,347,133
